Sample_input,Actual,Proposed,Traditional
1,2497.808837890625,2159.8196512661248,1902.708879649041
1,2311.041259765625,2140.8557899103034,2103.5160880632798
1,2290.289306640625,2403.04665578185,2130.912333173246
1,2248.785400390625,2320.9114980272548,2071.0582983082154
1,2404.425048828125,2412.630301089002,2034.1058054068196
1,2186.529541015625,2221.253700119901,2010.4061242099365
1,2072.393798828125,2267.2339635962317,2077.5663015022983
1,2207.281494140625,2293.638105074635,1937.1401949333788
1,2248.785400390625,2328.1697059983157,2146.058708964807
1,2082.769775390625,2216.861517305941,2036.5092415377223
1,2155.401611328125,2097.130449387433,2140.5406527129708
1,1885.6262207031252,2129.4918471397,2097.91644540315
1,2145.025634765625,2106.4851306052115,2169.877362691027
1,2207.281494140625,2048.0538189353033,2206.9806989575995
1,2103.521728515625,2153.9153842067562,2031.8709512037763
1,2373.297119140625,1967.99553159742,2154.8858159323504
1,2248.785400390625,1977.570193433579,2152.6117561861033
1,2362.921142578125,1972.185035097105,2147.961845812686
1,2124.273681640625,1973.5265861536307,2066.3192871142337
1,2228.033447265625,2067.4063250606287,2233.157551769216
1,2311.041259765625,2035.0175531589293,2203.148970344946
1,2010.1379394531252,2219.0567670542164,2159.8399639874992
1,2155.401611328125,2035.0563002450122,2344.0211470586614
1,2269.537353515625,2225.3342329031984,2289.1951156414766
1,2134.649658203125,2163.6448998736946,2222.3202012943666
1,2093.145751953125,2158.353694522434,2364.164848173679
1,2072.393798828125,2117.3763422071524,2198.91417675168
1,2383.673095703125,2036.900030489733,2088.3120899034343
1,2093.145751953125,2041.4715047204143,2081.715665973499
1,2196.905517578125,2243.060194942793,2114.0900129399292
1,2196.905517578125,1977.1526783389222,2174.8695397102833
1,2394.049072265625,2153.0407260508946,2025.7925344311093
1,2342.169189453125,2319.8096768288588,2051.5545486187452
1,2362.921142578125,2117.122626471917,2040.2608192239895
1,2383.673095703125,2121.709252198605,2115.5882825210297
1,2248.785400390625,2289.0716984012956,1993.7310824139101
1,2352.545166015625,2478.023957342415,2020.0085069483184
1,2196.905517578125,2337.8270068794004,2130.0861923049206
1,2362.921142578125,2505.5471673967477,2159.7116009655256
1,2487.432861328125,2393.1423916766666,2122.7754567617867
1,2228.033447265625,2620.0579502745204,2139.168286082636
1,2113.897705078125,2375.3583679970197,2089.8312900731335
1,2062.017822265625,2255.600987038602,2096.494987747704
0,1916.7541503906252,2346.409271329896,2041.380381757193
0,1771.4904785156252,2060.2003728002715,1880.5952989330535
0,1667.7307128906252,2088.778476660568,1705.4866503017956
0,1532.8430175781252,1873.3324673800682,1678.0801156787509
0,1553.5949707031252,1714.6692462598185,1482.1480433086977
0,1470.5871582031252,1717.6892163987852,1445.7065210971098
0,1294.1955566406252,1637.6050203829552,1419.387696599546
0,1574.3469238281252,1553.6456072289213,1259.7621926492861
1,1615.8508300781252,1469.4053930090595,1363.4691009115757
1,1522.4670410156252,1617.4793393309683,1293.8675661230325
1,1719.6105957031252,1559.2312342487905,1409.8023271610418
1,1615.8508300781252,1631.0257524847443,1502.832866839705
1,1678.1066894531252,1718.9024472581464,1507.1019892854972
1,1947.8820800781252,1939.2950091369012,1528.4911776944975
1,1844.1223144531252,1867.2853455333534,1586.9830750796955
1,1947.8820800781252,1932.4843921752692,1587.1661365397015
1,2020.5139160156252,1986.8399617899634,1776.2758198251263
1,2082.769775390625,1949.4637099422491,1659.9785031723
1,1968.6340332031252,2006.6835975397619,1698.6894433456878
1,1989.3859863281252,1987.1426383667656,1677.7748827932487
1,1916.7541503906252,2209.3801566355614,1786.486156604166
1,2217.657470703125,1988.5176536559861,1725.90565995138
1,2207.281494140625,2149.9773120035875,1858.6549892003736
1,2072.393798828125,2156.648717336702,1944.4603789963387
1,2030.8898925781252,1966.4925836831796,1901.8010649416217
1,1927.1301269531252,2344.0616480586123,1858.2760237471266
1,2207.281494140625,2279.7516377311595,1970.2711141457592
1,2155.401611328125,2226.6445845941344,1900.7437509960212
1,2228.033447265625,2054.5823051621423,1845.9703312239674
1,2269.537353515625,2092.4818471634767,1979.71233882957
1,2082.769775390625,2176.09308137236,1945.4966357130343
1,2155.401611328125,2210.6551593874997,1995.1235922120127
1,2352.545166015625,1966.5375877889933,2031.6342835207042
1,2145.025634765625,2028.6539726222006,1944.0042904144098
1,2404.425048828125,2392.4099539950194,2019.644892998449
1,2321.417236328125,2112.6578040263626,2001.9256408487238
1,2072.393798828125,2113.0603058988545,2039.793392735029
1,2155.401611328125,2248.4042046664667,1914.7654502610703
1,2269.537353515625,2294.1328381576795,1964.450514811787
1,2238.409423828125,2454.711929804955,2061.9223522573143
1,2082.769775390625,2417.5380306400716,2003.564539719225
1,2259.161376953125,2208.0603480287496,1938.6130523074844
1,2217.657470703125,2469.6639703192586,2053.1354515408666
1,2186.529541015625,2278.0625593861537,2026.2719317710719
1,2082.769775390625,2243.9177770001056,2043.967848734318
1,2103.521728515625,2193.6436825675296,1811.565985277848
1,2010.1379394531252,2182.064636457131,1895.638299037466
1,2103.521728515625,2434.290891021335,2068.0171693284046
1,2300.665283203125,2439.769518088702,2048.173535405855
1,2290.289306640625,2369.3129277304106,1952.7055034987613
1,2124.273681640625,2364.7495432256646,2007.9425219519949
1,2176.153564453125,2266.7607555778995,2046.2471532378904
1,2269.537353515625,2315.167227045806,2094.584983328622
1,2259.161376953125,2019.0637908608423,1923.0907850101753
1,2186.529541015625,2212.340163522416,1902.5586829666122
1,2248.785400390625,2130.1049452164957,2000.0791735529929
1,2134.649658203125,2278.7743261607543,2088.117526962557
1,2228.033447265625,2146.6346448698196,1989.4109718346124
1,2145.025634765625,2077.2152379936747,2085.810116710118
1,2217.657470703125,2139.1681190054146,1994.2858828239155
1,2207.281494140625,2098.028845644962,1931.5973138694662
1,2383.673095703125,2083.094809100228,1899.3956752711294
1,2072.393798828125,2007.0280998881192,2021.266718807344
1,2238.409423828125,1747.5991097346405,2167.458177122262
1,2238.409423828125,1990.540170546849,2036.0879813743613
1,2238.409423828125,2128.321797678699,1999.8467521675636
1,2093.145751953125,2320.6721156351946,2032.4826508238655
1,2228.033447265625,2266.3998545233417,2086.18056253367
1,2352.545166015625,2188.080236376395,1897.5095733826274
1,2145.025634765625,2189.8926199108637,1933.245557851864
1,2093.145751953125,2047.551776373529,2149.2025533280175
1,1968.6340332031252,2051.6216177198,2066.2120370202374
1,2155.401611328125,2136.603005717461,2129.6772055909364
1,2176.153564453125,2158.9056182323834,2017.4199789494037
1,2176.153564453125,2200.8725870240023,2124.0033315338633
1,2145.025634765625,2291.90001222919,2140.7084527146303
1,2404.425048828125,1999.9072726213703,2248.1124961752744
1,2394.049072265625,2232.9386558812394,2222.4687055755176
1,2414.801025390625,1828.5351011662042,2257.9052479754514
1,1999.7619628906252,2199.5178986742626,2180.1537117542453
1,2217.657470703125,1938.2053387770654,2066.8221131976793
1,2165.777587890625,1989.281782873149,2136.27759871239
1,2248.785400390625,2029.209787371012,2159.179432575385
1,2279.913330078125,2270.522367084665,2145.70582086266
1,2269.537353515625,2011.3062060430905,2081.784237275393
1,2176.153564453125,2248.5693768371866,1967.3199937177487
1,2321.417236328125,2124.792563552406,1995.190144111412
1,2051.641845703125,2089.2562600656042,2026.1757734943362
0,1698.8586425781252,2177.177901228665,2030.2138712138797
0,1595.0988769531252,1945.6199160955491,1853.6045606789687
0,1719.6105957031252,1765.6817999718414,1666.9999256162473
0,1501.7150878906252,1913.649812880135,1639.7235951385414
0,1460.2111816406252,1602.8847211204093,1515.6102723655733
0,1522.4670410156252,1469.2173099989013,1536.428927682869
0,1408.3312988281252,1490.7989812126214,1408.8196331385827
0,1242.3156738281252,1397.4085494355627,1256.6929354240515
1,1501.7150878906252,1314.9951438912117,1369.322038515359
1,1657.3547363281252,1476.3117977864542,1290.0767939086875
1,1480.9631347656252,1634.9588230930324,1449.2945968653894
1,1667.7307128906252,1552.7167925544209,1503.5906655291553
1,1750.7385253906252,1834.0103109035852,1460.6034192349157
1,1532.8430175781252,1825.647732198621,1581.7749924552877
1,1740.3625488281252,1753.620075299595,1463.114405743452
1,1812.9943847656252,1769.2031940242275,1697.7977818114048
1,1906.3781738281252,1999.6070952896716,1726.411148985065
1,1958.2580566406252,1854.525766129862,1701.2553364875537
1,1864.8742675781252,1948.111659120691,1748.7589474432248
1,1844.1223144531252,2079.9168468201565,1834.6448589541797
1,1916.7541503906252,2097.844238162726,1705.9242370510983
1,2082.769775390625,2027.3209888571928,1742.523240727703
1,1968.6340332031252,2143.0762412067165,1954.7828724261244
1,1999.7619628906252,2212.6226405215953,2003.1850238586524
1,2020.5139160156252,2038.7488109720236,1993.8515751179393
1,2155.401611328125,2001.0650116846723,2003.8665005550356
1,2248.785400390625,2006.0974270607423,2029.438316240672
1,2124.273681640625,1924.6298008095368,2008.8785050184783
1,2269.537353515625,2065.4921537914606,2085.9522310593384
1,2290.289306640625,2008.195652677418,2176.350382269488
